"","Variable set","SL CV-AUC (95% CI)","Learner","Screen","CV-AUC (95% CI)"
"1","1_baselineRiskFactors","0.993 [0.424, 0.999]*","SL.gam","univar_logistic_pval","1.000 [0.000, 1.000]*"
"2","2_varset_bAbSpike","0.989 [0.702, 0.997]","SL.bayesglm","univar_logistic_pval","0.998 [0.252, 1.000]"
"3","3_varset_bAbRBD","0.967 [0.925, 0.984]","SL.glm.interaction","univar_logistic_pval","0.997 [0.230, 1.000]"
"4","4_varset_pnabID50","0.956 [0.917, 0.977]","SL.glmnet","glmnet","0.999 [0.000, 1.000]"
"5","5_varset_pnabID80","0.978 [0.942, 0.991]","SL.bayesglm","all","0.997 [0.319, 1.000]"
"6","6_varset_lnabID50","0.958 [0.918, 0.978]","SL.glmnet","glmnet","0.998 [0.067, 1.000]"
"7","7_varset_lnabID80","0.945 [0.907, 0.968]","SL.glmnet","univar_logistic_pval","1.000 [0.000, 1.000]"
"8","8_varset_bAb_pnabID50","0.972 [0.942, 0.987]","SL.glmnet","highcor_random","0.996 [0.520, 1.000]"
"9","9_varset_bAb_pnabID80","0.977 [0.948, 0.990]","SL.bayesglm","glmnet","0.998 [0.268, 1.000]"
"10","10_varset_bAb_lnabID50","0.965 [0.934, 0.982]","SL.glm.interaction","glmnet","0.996 [0.486, 1.000]"
"11","11_varset_bAb_lnabID80","0.970 [0.940, 0.985]","SL.bayesglm","glmnet","0.997 [0.480, 1.000]"
"12","12_varset_bAb_combScores","0.973 [0.941, 0.988]","SL.glmnet","univar_logistic_pval","0.996 [0.560, 1.000]"
"13","13_varset_allMarkers","0.970 [0.941, 0.985]","SL.bayesglm","highcor_random","0.998 [0.152, 1.000]"
"14","14_varset_allMarkers_combScores","0.966 [0.935, 0.982]","SL.bayesglm","highcor_random","0.999 [0.135, 1.000]"
