"","Learner","Screen*"
"1","SL.mean","all"
"2","SL.glm","all"
"3","SL.glm","glmnet"
"4","SL.glm","univar_logistic_pval"
"5","SL.glm","highcor_random"
"6","SL.bayesglm","all"
"7","SL.bayesglm","glmnet"
"8","SL.bayesglm","univar_logistic_pval"
"9","SL.bayesglm","highcor_random"
"10","SL.glm.interaction","all"
"11","SL.glm.interaction","glmnet"
"12","SL.glm.interaction","univar_logistic_pval"
"13","SL.glm.interaction","highcor_random"
"14","SL.glmnet","glmnet"
"15","SL.glmnet","univar_logistic_pval"
"16","SL.glmnet","highcor_random"
"17","SL.gam","glmnet"
"18","SL.gam","univar_logistic_pval"
"19","SL.gam","highcor_random"
"20","SL.xgboost","glmnet"
"21","SL.xgboost","univar_logistic_pval"
"22","SL.xgboost","highcor_random"
"23","SL.cforest","glmnet"
"24","SL.cforest","univar_logistic_pval"
"25","SL.cforest","highcor_random"
